Symbol,CompanyName,Rank,MarketCap
MSFT,Microsoft,1,"3,289.30"
AAPL,Apple,2,"3,258.30"
NVDA,Nvidia,3,"3,244.20"
GOOGL,Alphabet,4,"2,193.60"
AMZN,Amazon,5,"1,911.30"
META,Meta,6,"1,278.80"
TSM,Taiwan Semiconductor,7,894.8
BRK-A,Berkshire Hathaway,8,875.5
LLY,Eli Lilly,9,834.9
AVGO,Broadcom,10,804.1
TSLA,Tesla,11,567.7
JPM,JPMorgan Chase,12,556.5
V,Visa,13,541.6
WMT,Walmart,14,539.1
SONY,Sony,15,499.5
XOM,ExxonMobil,16,489.5
NVO,Novo Nordisk,17,482.1
UNH,UnitedHealth,18,457.5
MA,Mastercard,19,413.3
ASML,ASML,20,404.4
PG,Procter & Gamble,21,393.6
ORCL,Oracle,22,379.7
COST,Costco,23,379.3
JNJ,Johnson & Johnson,24,350.3
HD,Home Depot,25,343.9
MRK,Merck,26,327.9
BAC,Bank of America,27,306.9
ABBV,AbbVie,28,297.7
NFLX,Netflix,29,288.4
CVX,Chevron,30,281.2
KO,Coca-Cola,31,269.5
TM,Toyota,32,265.5
AMD,AMD,33,258
SMFG,Sumitomo Mitsui Financial,34,248.5
AZN,AstraZeneca,35,246.8
QCOM,Qualcomm,36,240.7
ADBE,Adobe,37,235.3
PEP,Pepsi,38,225.2
CRM,Salesforce,39,224.7
SAP,SAP,40,219.2
TMO,Thermo Fisher,41,218.4
NVS,Novartis,42,215.7
LIN,Linde,43,210
PDD,Pinduoduo,44,206.9
TMUS,T-Mobile,45,206.2
WFC,Wells Fargo,46,200.1
AMAT,Applied Materials,47,196.3
ACN,Accenture,48,192.2
DHR,Danaher,49,188.8
CSCO,Cisco,50,184
